1929 or 1989?	1929年还是1989年?
From the incredible media lab at MIT to the mathematics and economics departments at Harvard, Asians – Chinese and Indians, in particular – are everywhere, like the Romans in Athens in the first century BC: full of admiration for those from whom they were learning so much, and whom they would overcome in the coming decades.	从一流的麻省理工学院的媒体实验室到哈佛大学的数学和经济系，亚洲人-尤其是中国和印度人-到处都是，犹如公元前一世纪在雅典的罗马人一样：他们对那里学到太多东西的人们充满了敬佩，而他们将在今后几十年打败他们学习的对象。
But before this new order appears, the world may be faced with spreading disorder, if not outright chaos.	但是，在这一新秩序的出现之前，世界可能会面临更广泛的混沌，如果不是彻底的混乱的话。
What, for example, will happen to a country as central and vulnerable as Egypt when hundred of thousands of Egyptians working in the Gulf are forced to return to their homeland as a result of the crisis in the oil-producing countries?	例如，对埃及这样一个重要而又脆弱的国家，有数十万的埃及人曾在海湾工作但现在因石油生产国出现的危机而被迫返回了自己的家园，那埃及会发生什么情况呢？
When the rich get less rich, the poor get poorer.	当富人不再那么富了，穷人就会更穷。
And what about the foreign workers who have reached for the “European dream” and are now faced with potential explosions of xenophobia in Europe’s supposedly open countries?	还有，对于那些追求“欧洲梦”的外来工人，现在他们面临着理应是开放的欧洲国家的仇外心态可能的爆发，他们会有怎样的遭遇？
We can only hope that, in the end, the consequences of 2009 similarly prove to be far less dramatic than we now – intuitively and in our historical reflexes – feel them to be.	我们只能希望2009年的危机同样地最后被证明是远远低于我们现在以直觉和历史回顾的方式��感觉到的那么剧烈。
What Failed in 2008?	2008年败在何处？
BERKELEY – To solve a problem, it is not enough to know what to do.	伯克利—要解决问题，光知道做什么是不够的。
You actually have to implement the solution – and be willing to change course if it turns out that you did not know quite as much as you thought.	你实际上必须实施解决办法——并且在事实证明你知道的并不如你认为的那样多时，你得愿意改变办法。
That is the message of two recent books that, together, tell you everything you need to know about the 2008 financial crisis: what caused it, what can be done to prevent it from recurring, and why those things have yet to be done.	这就是两本新书一起告诉你的信息。 这两本新书讲述了你需要知道的关于2008年金融危机的一切：什么引起了金融危机，可以做什么防止它再次发生，以及为何这些事情还没有人去做。
The first book is The Shifts and the Shocks, by the conservative British journalist Martin Wolf, who begins by cataloguing the major shifts that set the stage for the economic disaster that continues to shape the world today.	第一本书是《变化和冲击》（The Shifts and the Shocks），作者是保守派英国记者马丁·沃尔夫（Martin Wolf）。 在书的开头，他对酝酿了至今仍在影响世界的这场经济灾难的重要变化做了归纳编目。
His starting point is the huge rise in wealth among the world’s richest 0.1% and 0.01% and the consequent pressure for people, governments, and companies to take on increasingly unsustainable levels of debt.	1%和0. 01%人群财富剧增，这给人民、政府和公司造成了日益不可持续的高负债的压力。
Meanwhile, policymakers were lulled into complacency by the widespread acceptance of economic theories such as the “efficient-market hypothesis,” which assumes that investors act rationally and use all available information when making their decisions.	与此同时，决策者因为“有效市场假说”等经济理论的广泛接受而志得意满，有效市场假说认为投资者的行为是理性的，在作出决策时会利用一切可获得的信心。
As a result, markets were deregulated, making it easier to trade assets that were perceived to be safe, but were in fact not.	结果，市场监管被放松，交易被认为安全但实际并不安全的资产变得更加容易。
As a result, systemic risk proliferated beyond central bankers’ wildest imagination.	结果，系统性风险悄然酝酿，并且超过了央行官员最大胆的想象。
Untested – and ultimately incorrect – assumptions created a policymaking environment defined by what can only be called hubris.	未受检验并且最终错误的假设形成了一个只能用狂妄自大形容的决策环境。
Officials underestimated tail risks.	官员低估了尾部风险。
They set inflation targets at around 2% – leaving little room for maneuver when the water got choppy.	它们将通胀目标设定在2%左右——这意味着当波涛汹涌时他们根本没有多少施展空间。
And, most audaciously of all, the European Union introduced the euro as a common currency.	此外，最大胆的动作要数欧盟引入欧元作为共同货币。
Indeed, wrongheaded policymaking continued long after the crisis began.	事实上，方向错误的决策在危机开始后仍然能维持了很长时间。
Politicians responded to worsening economic conditions by hewing as closely as possible to failed prescriptions, making sure to do no more than absolutely necessary to address the biggest economic disaster since the Great Depression.	政客对恶化的经济条件的反应是坚定实施错误的药方，对于这场大萧条以来最严重的经济灾难，他们除了绝对需要做的事情意外什么都不做。
Wolf’s prescription for countering the crisis is simple, smart, and unassailable.	沃尔夫给抵御这场危机开出的药方简单、明智并且无懈可击。
In the short term, he suggests that countries with reserve currencies spend more (especially to finance public-sector investments) and issue more debt.	在短期，他建议拥有储备货币的国家增加支出（特别是公共部门投资融资）、发行更多债务。
Their central banks, he argues, should raise inflation targets to 3% or even 4% per year.	他指出，这些国家的央行应该将通胀目标提高到每年3%甚至4%。
Over the medium term, according to Wolf, countries need to put in place regulatory measures that lower debt levels and discourage overleveraging.	在中期，沃尔夫认为各国需要实施监管措施降低债务水平、阻止过度举债。
The eurozone, too, must resolve its internal contradictions, either by disbanding or by introducing “a minimum set of institutions and policies” that allow the monetary union to function properly.	欧元区也必须解决其内部矛盾，要么通过解散欧元区实现，要么通过引入能令货币联盟正常运行的“最小限度的机构和政策组合”实现。
Wolf’s long-term solutions include tackling inequality, “more global regulation,” a greater degree of “freedom for individual countries to craft their own responses,” and economic analysis that is less in thrall to the free-market ideologues that led us into the crisis in the first place.	沃尔夫的长期解决方案包括遏制不平等、“更加全球化的监管”、更大程度的“个体国家自己决定反应方式的自由”以及更少受到自由市场思想束缚的经济分析。 一开始正是自由市场思想让我们陷入了危机。
And yet, as recommendable as Wolf’s proposals may be, little has been done to implement them.	但是，尽管沃尔夫的方案值得推荐，但几乎没有任何实施。
The reasons why are found in the second book: Hall of Mirrors, by&nbsp;my friend, teacher, and patron, Barry Eichengreen.	原因可以从第二本书中找到：由我的朋友、老师和“老板”巴里·艾肯格林（Barry Eichengreen）所著的《镜厅》（Hall of Mirrors）。
Eichengreen traces our tepid response to the crisis to the triumph of monetarist economists, the disciples of Milton Friedman, over their Keynesian and Minskyite peers – at least when it comes to interpretations of the causes and consequences of the Great Depression.	艾肯格林认为，我们对这场危机反应不温不火，原因要追溯到作为弗里德曼（MiltonFriedman）门徒的���币经济学家对凯恩斯主义和明斯基（MInskyite）主义同行的胜利——至少在解释大萧条的原因和后果方面是如此。
When the 2008 financial crisis erupted, policymakers tried to apply Friedman’s proposed solutions to the Great Depression.	2008年金融危机爆发时，决策者试图使用弗里德曼提出的大萧条方案。
Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.	不幸的是，事实证明这是错的，直言不讳地说，货币主义者对大萧条的解释在众多方面都是错误的，并且非常不完整。
The resulting policies were enough to prevent the post-2008 recession from developing into a full-blown depression; but that partial success turned out to be a Pyrrhic victory, for it allowed politicians to declare that the crisis had been overcome, and that it was time to embrace austerity and focus on structural reform.	由此产生的政策足以阻止2008年后的衰退演变为完全的萧条； 但这一局部成功的代价也是巨大的，它让政客宣布危机已经被克服，应该采取紧缩并专注于结构改革。
The result is today’s stagnant economy, marked by anemic growth that threatens to become the new normal.	结果就是现在的经济停滞，其特征是增长无力并且随时可能成为新常态。
The United States and Europe are on track to have thrown away 10% of their potential wealth, while the failure to strengthen financial-sector regulation has left the world economy exposed to the risk of another major crisis.	美国和欧洲损失了10%的潜在财富，而没有强化金融部门监管让世界经济随时可能迎来新一场大危机。
Wolf and Eichengreen would agree that the main shortcomings that led to the 2008 financial crisis – and that continue to underpin our inadequate response to it – are intellectual.	沃尔夫和艾肯格林会认为，导致2008年金融危机的主要缺陷——以及继续破坏我们对危机的不充分反应的主要缺陷——是知识缺陷。
Indeed, the only true lesson of the crisis so far seems to be that its lessons will never truly be learned.	事实上，到目前为止，危机的唯一真正教训是它的教训从未被真正汲取。
A Comeback Strategy for Europe	欧洲的重振战略
STOCKHOLM/MADRID – When Pope Francis addressed the European Parliament last November, he compared the European Union to a grandmother – pleasant and rich with experience, but lacking the vitality and energy of the past.	斯托克霍姆/马德里—去年11月，教皇方济各在其欧洲议会演讲中将欧盟比作祖母——和蔼而富于经验，但已不再有过去的活力和能量。
It is high time, Francis argued, that EU leaders shed their dozy image, recognize the strategic challenges that Europe faces, and forge a clear policy for tackling them.	方济各说，现在是一个关键时刻，欧盟领导人必须摆脱懈怠形象，承认欧洲所面临的战略挑战，并构建应对挑战的明确政策。
Admittedly, the pope’s characterization was alarmingly accurate in some respects.	诚然，教皇的描述在某些角度讲非常准确。
But, despite its seeming lassitude, Europe retains significant strengths.	但是，尽管欧洲看起来疲态尽露，但仍拥有巨大优势。 欧洲是高水平思想和创新的枢纽；
It is a hub of high-level thought and innovation; it is home to some of the world’s most competitive regions and industries; and, perhaps most impressive, it has built a community and market encompassing a half-billion people.	是世界最有竞争力地区和产业的所在地； 最重要的是，它还构建了一个由五亿人组成的社会和市场。
But the world is changing: the Asia-Pacific region is increasingly influencing global developments, economic and otherwise.	但世界正在变化：亚太地区正在日益影响全球经济和其他发展趋势。
The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).	跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了）。
Though the TPP faces no shortage of hurdles to clear before an agreement is finalized, its potential to augment Asia’s economic power cannot be underestimated.	尽管TPP距离最终完成协议还有很多障碍需要跨越，但其扩大亚洲经济实力的潜力绝不容���觑。
Europe must work to secure its position in the new world order – beginning by enhancing its own trade and investment ties with the US.	欧洲必须致力于确保其在新世界秩序中的地位——首先要强化其自身与美国的贸易和投资联系。
The problem is that, as the TPP negotiations progress, talks on the EU-US Transatlantic Trade and Investment Partnership (TTIP) have become so deeply mired in domestic controversies that the entire project may well be scuttled.	在TPP谈判不断推进的同时，欧盟-美国跨大西洋贸易和投资伙伴关系（Transatlantic Trade and Investment Partnership，TTIP）谈判却深陷国内矛盾的掣肘，整个工程都有可能夭折。
Business leaders on both sides of the Atlantic are convinced that a successful TTIP agreement would bring substantial economic benefits – a perception that many studies reinforce.	大西洋两岸的商业领袖相信，成功的TTIP协议将带来巨大的经济收益——许多研究都强化了这一感觉。
Yet trivial issues – for example, the use of chlorinated chicken and settlements of investor disputes – continue to dominate the debate.	但一些微妙的问题——比如“氯化鸡”（欧洲怀疑美国鸡肉进入市场前都用氯消毒）和投资者纠纷和解等问题——仍主导着争论。
The TTIP’s goal is to unleash the power of the transatlantic economy, which remains by far the world’s largest and wealthiest market, accounting for three-quarters of global financial activity and more than half of world trade.	TTIP的目标是释放跨大西洋经济的力量——目前大西洋两岸仍是世界最大最富有的市场，占全球金融活动的四分之三和世界贸易量的一大半。
(If the TTIP was opened to other economies – such as Turkey, Mexico, and Canada – the benefits would be even greater.)	（如果TTIP向其他经济体开放——比如土耳其、墨西哥和加拿大——则收益还将更大。 ）
Even more compelling than the benefits of achieving an agreement, though, are the potentially catastrophic consequences of failure.	但是，比达成协议的好处更加让人感到必须成功的是谈判失败可能带来的灾难性结果。
For starters, a breakdown of TTIP talks would give considerable ammunition to those in the United Kingdom who advocate withdrawal from the EU; conversely, if the TTIP were implemented, the UK would be unwise – and thus unlikely – to leave.	首先，TTIP谈判的破裂将极大地加强英国鼓吹离开欧盟阵营的力量； 反之，如果TTIP获得实施，英国离开欧盟将是不明智之举，因此也不会发生。
Moreover, the perception that the EU’s internal squabbles had led it to squander a strategic opportunity would probably drive the US to accelerate its disengagement from the continent.	此外，欧洲的内讧导致其白白浪费了一个战略机会，这一感觉可能促使美国加速远离欧洲。
And Russian President Vladimir Putin would invariably regard the EU’s failure as a major opportunity to exert more influence over parts of Europe.	而俄罗斯总统普京也必然会将欧洲的失败视为影响欧洲更多地区的良机。
All of this contributes to a starkly fundamental strategic risk: If the TTIP stalls or collapses, while the TPP moves forward and succeeds, the global balance will tip strongly in Asia’s favor – and Europe will have few options, if any, for regaining its economic and geopolitical influence.	所有这些凸显出一个根本新战略风险：如果TTIP无法取得进展或失败，而TPP取得进展并成功，则全球平衡将朝着极有利于亚洲的方向发展——欧洲极有可能无法重振其经济和地缘政治影响力。
When the TTIP was first proposed, Europe seemed to recognize its value.	TTIP首次提出时，欧洲似乎能够认识到其价值。
Indeed, it was the EU that pushed the US, which initially doubted Europe’s commitment, to launch the negotiation process in June 2013.	事实上，是欧洲推动一开始对欧洲的承诺有所怀疑的美国在2013年6月启动了谈判程序。
The ambition was to complete the negotiations on “one tank of gas.”	当时人们雄心万丈，意图“一鼓作气”完成谈判。
No one wanted to endure protracted talks – or the associated political pain.	没人想让谈判长久拖延——或忍受因此带来的政治痛苦。
But EU leaders essentially abandoned the project, seemingly confirming American fears.	但欧盟领导人在事实上抛弃了这一工程，而这也印证了美国的担心。
Trade negotiators struggled to make headway, while anti-globalization groups seized control of the public discourse, presenting the TTIP as a threat to everything from Europe’s democracy to its health.	贸易谈判在挣扎中前行，而反全球化组织掌握了公共观点的控制权，将TTIP描述为对一切事物的威胁——从欧洲的民主到欧洲的健康莫不如此。
This is dangerously inaccurate talk, and EU leaders must prevent it from gaining any more traction by making the strategic case for the agreement.	这是非常危险的错误言论，欧盟领导人必须拿出推进TTIP的战略性理由，从而阻止这一言论获得更大的市场。
And they must revive their commitment to conclude the talks successfully in 2015.	他们还必须重振2015年成功完成谈判的承诺。
This is not to say that resolving the remaining issues in the TTIP negotiations will be simple.	这并不是说解决TTIP谈判中仍然存在的问题轻而易举。
But establishing a trade agreement, especially one that entails so many regulatory issues, is always difficult, as it must account for the complexity and changeability of modern economies.	但签订贸易协议，特别是包含如此多监管问题的贸易协议，永远不是件容易事，因为它必须考虑到现代经济的复杂性和易变性。
The fact is that the challenges inherent in completing the TTIP are no more intractable than those that EU leaders have faced in the last few years of crisis.	事实上，完成TTIP所包含的挑战并不比欧盟领导人在过去几年的危机中所遇到的挑战更棘手。
When the TTIP negotiations resume next month, EU leaders must push for genuine progress, with the goal of completing a deal by the end of the year.	TTIP谈判将在下个月重启，届时欧盟领导人必须推动真正的进展，并以在年底完成协议为目标。
The good news is that the recent midterm elections in the US might have improved their chances.	好消息是最近的美国中期选举有可能增加他们成功的机会。
President Barack Obama now might get so-called fast-track negotiating authority from Congress.	现在，美国总统奥巴马可能将从国会获得所谓的快速谈判授权。
If he does, Congress would simply approve or reject any negotiated agreement, rather than picking it apart.	果真如此的话，美国国会将对谈成的协议予以批准或否决，而不能束之高阁。
The US presidential election season is starting, and other issues in the new year could easily take over the EU agenda.	美国总统竞选季即将来开帷幕，在新的一年里，其他问题可能轻而易举地取代欧盟日程。
That is why Europe’s leaders have no time to waste.	正因如此，欧洲领导人已无时间可以浪费。
They must seize economic opportunity – and avert strategic disaster.	他们必须抓住经济机会——并避免战略灾难。
The Year That Ended an Epoch?	标志着时代终结的一年？
MADRID – As 2016 comes to an end, the outlook for 2017 is shrouded in uncertainty.	马德里——随着2016年的结束，2017年的前景被不确定性所笼罩。
Tensions in the Middle East are rising, and populist movements have appeared in Europe and the United States.	中东紧张局势正在加剧，欧洲和美国出现了民粹主义运动。
In the Middle East, the tragic conflict in Syria continues, despite several fruitless attempts at rapprochement, which were marred by the fundamental disagreement about Syrian President Bashar al-Assad’s future role in any peace process or political transition.	因为对叙利亚总统巴沙尔·阿萨德未来在和平进程或政治过渡中所起的作用存在根本性的分歧，在几次修复关系的努力无果而终后，中东的叙利亚悲剧性冲突仍将继续下去。
Meanwhile, over the past week, Syrian government troops, backed by Russia and Iran, have retaken almost all of Aleppo – once Syria’s largest city, now utterly devastated by the war.	此外，过去一周，叙利亚政府军在俄罗斯和伊朗的支持下，已经夺回了几乎整个阿勒颇——阿勒颇曾是叙利亚最大的城市，现在已经彻底毁灭在战火之中。
The world’s priority for the coming year must be to achieve peace in Syria, which will require close regional and international cooperation.	世界各国来年的首要任务必须是通过密切的地区和国际合作来实现叙利亚和平。
On December 27, Iran, Russia, and Turkey will hold a tripartite meeting in Moscow to discuss a political solution for the Syria conflict.	12月27日，伊朗、俄罗斯和土耳其将在莫斯科举行三方会议，探讨政治解决叙利亚冲突。
That meeting, if it takes place, is likely to be overshadowed by the fallout from the assassination of Russia’s ambassador to Turkey.	如果那次会议真的召开，也有可能笼罩在俄罗斯驻土耳其大使被杀的阴影当中。
But it is nothing if not surprising that these parties, and not the US and the European Union, would be negotiating such an agreement.	最出人意料的是居然是俄、伊、土三方，而非美国和欧盟，参与谈判这样的协定。
One positive development this year came in March, when the EU and Turkey signed an agreement to address the refugee crisis.	今年的积极进展出现在3月份，当时欧盟和土耳其就解决难民危机的协议达成。
Turkey has now taken in some three million Syrian refugees since the beginning of the conflict.	从这次冲突开始到现在，土耳其已经接收了约300万叙利亚难民。
Although EU-Turkey relations are currently not at their best, the dialogue between the two sides must continue in 2017, not least because of their common interests, which are based not only on economic interdependence, but also on the refugee crisis and the collective fight against terrorism.	尽管欧盟土耳其关系现在并不在历史高点，但双方必须在2017年继续对话，尤其因为双方拥有基于经济相互依存、难民危机及反恐集体斗争等诸多共同利益。
European politics next year, meanwhile, will be consumed by the Brexit negotiations.	此外，英国退欧谈判将影响明年的欧洲政治。
In March, the United Kingdom will likely invoke Article 50 of the Treaty of Lisbon, triggering the formal procedure for withdrawal from the EU.	英国或将于3月启动《里斯本条约》第五十条，从而触发退出欧盟的正式程序。
The challenge will be to reach an agreement that guarantees the wellbeing of future EU-UK relations.	难点在于就确保未来欧盟-英国关系健康发展达成一致。
This will not be easy, and EU negotiators have already set a timeline of only 18 months.	做到这一点绝非易事。 欧盟谈判人员已经制订了仅有18个月的时间表。
While much remains uncertain, what is clear is that if the UK wants to retain access to the European single market, it will have to accept the EU’s four freedoms, including the free movement of workers.	虽然不确定因素仍然很多，但有一点十分明确，即如果英国想要保留单一市场准入权，就必须接受包括劳动力自由流动在内的欧盟四项自由政策。
In 2017, several European countries will hold general elections, and there is a risk that isolationist, anti-European populist movements will make a strong showing.	有几个欧洲国家将在2017年举行大选，孤立主义者、反欧洲民粹运动或将在此期间表现强势。
For the EU to lose a country as militarily and economically important as the UK is bad enough; but to lose a founding EU member state, such as France, would be tragic.	对欧盟而言，失去像英国这样在军事和经济上都很重要的国家无疑是一种打击； 但失去法国这样的创始成员国或将酿成悲剧性的后果。
Fortunately, many Europeans’ views toward the EU actually improved in the aftermath of the Brexit referendum.	幸运的是，许多欧洲人对欧盟的看法事实上在英国退欧公投后有改善的迹象。
But this will not lessen the challenge for EU governments in the year ahead.	但这并不意味着欧盟政府在今后一年所面临的挑战减轻。
They must unite societies divided by powerful global forces, such as globalization and rapid technological innovation.	他们必须重新团结被全球化和快速技术创新等强劲全球势力切割得四分五裂的社会。
The Brexit referendum, followed by Donald Trump’s victory in the US presidential election, signaled the rise of populism in the West.	英国退欧公投、而后是唐纳德·特朗普在美国总统大选中的获胜标志着西方民粹主义势力抬头。
But now that Trump is filling his cabinet with oligarchs and former military men, we have reason to doubt that he will keep his promise to govern without the Washington “establishment.”	但现在，特朗普正在征召寡头和前军人进入其内阁，我们有理由质疑他是否会履行自己摆脱华盛顿“建制派”进行治理的承诺。
Trump’s incoming administration is full of unknowns, but there can be no doubt that his rejection of multilateral institutions will endanger international efforts to cooperate on solutions to the world’s biggest problems.	特朗普即将执政的新内阁充满了未知数，但毫无疑问他对多边机构的抗拒会危及合作解决全球最严重问题的工作。
This holds peril for US-EU relations.	这必将对美国-欧盟关系构成威胁。
In previous years, the Paris climate agreement and the nuclear agreement with Iran were rays of light in a world closing itself off to multilateralism.	过去几年，巴黎气候协议及伊朗核协议曾为这个远离多边主义的世界带来一线曙光。
In the coming years, such rays may become scarcer still.	而在未来几年，这样的曙光会变得越来越稀有。
Now more than ever, we need the kind of dialogue that builds strategic trust between great powers.	现在比以往任何时候都更需要在大国间建立战略互信的对话。
And yet, Trump’s statements casting doubt on continued US adherence to a “One China” policy vis-à-vis Taiwan could severely damage relations between the world’s two largest economies.	而特朗普质疑美国是否将继续坚持“一个中国”政策的声明极有可能严重损害世界两大经济体之间的关系。
Similarly, notwithstanding the pro-Russian leanings of some among Trump’s team, the US-Russian relationship also lacks strategic trust, owing to Russia’s military intervention in Syria, its invasion of eastern Ukraine, and its alleged interference in the US election.	同样，尽管特朗普团队不乏一定程度的亲俄倾向，但因为俄罗斯军事入侵叙利亚、东乌克兰以及干涉美国大选的指控，美俄关系同样缺乏战略互信。
The coming year will be particularly important for Europe.	来年对欧洲而言尤其重要。
Relations between the EU and the US must remain strong, rooted in mutual respect for democracy, freedom, and human rights.	植根于对民主、自由和人权的共同尊重，欧盟和美国之间的关系必须保持稳固。
After a turbulent 2016, and with little positive news in international politics, 2017 is shaping up to be a year of challenges and uncertainty.	在充满动荡的2016年后，因为国际政治中几乎鲜有积极消息，2017年注定充满挑战和不确定性。
But the biggest uncertainty of all is whether this is simply the end of another year, or the end of a geopolitical epoch.	但最大的不确定性却是2016年仅仅是又一年的结束，还是整个地缘政治时代的终结。
Another Slow Year for the Global Economy	全球经济缓慢增长又一年
WASHINGTON, DC – Last April, the International Monetary Fund projected that the world economy would grow by 3.5% in 2015.	华盛顿—去年4月，国际货币基金组织（IMF）预测2015年世界经济将增长3. 5%。
In the ensuing months, that forecast was steadily whittled down, reaching 3.1% in October.	在随后的几个月中，这一预测被逐步调低，10月份时下降到3.
But the IMF continues to insist – as it has, with almost banal predictability, for the last seven years – that next year will be better.	1%。 但IMF仍然坚持——在过去七年中它一贯如此，几乎没有什么预见性可言——明年会更好。
But it is almost certainly wrong yet again.	但几乎可以肯定，IMF又错了。
For starters, world trade is growing at an anemic annual rate of 2%, compared to 8% from 2003 to 2007.	首先，世界贸易年增长率只有区区2%，而2003—2007年间高达8%。
Whereas trade growth during those heady years far exceeded that of world GDP, which averaged 4.5%, lately, trade and GDP growth rates have been about the same.	这几年中，贸易增长远远高于世界GDP（平均增长率为4. 5%），但最近贸易和GDP增长大致相当。
Even if GDP growth outstrips growth in trade this year, it will likely amount to no more than 2.7%.	即使今年GDP增长超过贸易增长，也可能无法超过2. 7%。
The question is why.	问题在于为什么。
According to Christina and David Romer of the University of California, Berkeley, the aftershocks of modern financial crises – that is, since World War II – fade after 2-3 years.	据加州大学伯克利分校的克里斯蒂娜和大卫·罗默（Christina and David Romer），现代金融危机（二战后）的余波会持续2—3年时间才会消失。
The Harvard economists Carmen Reinhart and Kenneth Rogoff say that it takes five years for a country to dig itself out of a financial crisis.	哈佛大学经济学家卡门·莱因哈特（Carmen Reinhart）和肯尼斯·罗格夫（Kenneth Rogoff）说，一国需要五年时间才能从金融危机中走出。
And, indeed, the financial dislocations of 2007-2008 have largely receded.	而事实上，2007—2008年的金融动荡已经基本消失。
So what accounts for the sluggish economic recovery?	因此，是什么导致了经济复苏滞后？
One popular explanation lies in the fuzzy notion of “secular stagnation”: long-term depressed demand for goods and services is undermining incentives to invest and hire.	一个流行的解释是一个叫作“长期停滞”的模糊概念——长期受到抑制的商品和服务需求破坏了投资和招聘激励。
But demand would remain weak only if people lacked confidence in the future.	但需求只有在人们对未来信心不足时才会持续低迷。
The only logical explanation for this enduring lack of confidence, as Northwestern University’s Robert Gordon has painstakingly documented and argued, is slow productivity growth.	这一信心持续缺失的唯一符合逻辑的解释，正如西北大学的罗伯特·戈登（Robert Gordon）费煞苦心地记录和论证的，是生产率增长缓慢。
Before the crisis – and especially from 2003 to 2007 – slow productivity growth was being obscured by an illusory sense of prosperity in much of the world.	危机前，特别是2003—2007年，生产率增长缓慢被一种世界大部分国家都在欣欣向荣的幻觉所蒙蔽。
In some countries – notably, the United States, Spain, and Ireland – rising real-estate prices, speculative construction, and financial risk-taking were mutually reinforcing.	在一些国家——特别是美国、西班牙和爱尔兰——高升的放假、投机性建设和金融冒险互相强化。
At the same time, countries were amplifying one another’s growth through trade.	与此同时，各国通过贸易放大彼此的增长。
Central to the global boom was China, the rising giant that flooded the world with cheap exports, putting a lid on global inflation.	这场全球繁荣的核心是中国，这个崛起的巨无霸向全世界输出廉价出口品，遏制了全球通胀。
Equally important, China imported a huge volume of commodities, thereby bolstering many African and Latin American economies, and purchased German cars and machines, enabling Europe’s largest economy to keep its regional supply chains humming.	同样重要的是，中国进口了巨量大宗商品，从而提振了许多非洲和拉丁美洲经济体； 还购买了大量德国汽车和机器，让欧洲最大经济体保持其地区供应链满负荷运行。
This dynamic reversed around March 2008, when the US rescued its fifth-largest investment bank, Bear Sterns, from collapse.	这一动态在2008年3月左右发生了逆转。 当时，美国拯救了其第五大投资银行贝尔斯登，使其免于破产。
With the eurozone banks also deeply implicated in the subprime mortgage mess and desperately short of US dollars, America and much of Europe began a remorseless slide into recession.	欧元区银行业深陷次贷乱局，急缺美元，因此美国和欧洲的大部开始滑向衰退。
Whereas in the boom years, world trade had spread the bounty, it was now spreading the malaise.	在繁荣年份，世界贸易传播着财富，而如今，世界贸易传播着经济萎靡。
As each country’s GDP growth slowed, so did its imports, causing its trading partners’ growth to slow as well.	随着各国GDP增长的放缓，进口也开始放缓，贸易伙伴的增长也随之放缓。
